nome,nometuss,tuss,valor_padrao,nome_plano,especialidade
"Componente Protético","Componente Protético",,"450.00","Particular","Implantodontia"
"Aumento de Guia Canina","Aumento de Guia Canina",,"170.00","Particular","Dentística"
"Clareamento Combinado (caseiro e consultório)","Clareamento Combinado (caseiro e consultório)",,"1590.00","Particular","Dentística"
"Planejamento digital","Planejamento digital",,"530.00","Particular","Dentística"
"Recorte Incisal","Recorte Incisal",,"100.00","Particular","Dentística"
"Coroa Cerâmica E-max","Coroa Cerâmica E-max",,"2700.00","Particular","Prótese"
"Dois géis clareadores + avaliação da plaquinha clareadora","Dois géis clareadores + avaliação da plaquinha clareadora",,"250.00","Particular","Dentística"
"Preenchimento Labial - 1ml ","Preenchimento Labial - 1ml ",,"1200.00","Particular","Harmonização facial"
"Faceta de Único Central - E-Max","Faceta de Único Central - E-Max",,"4500.00","Particular","Prótese"
"Rest. RC Classe III G4","Rest. RC Classe III G4",,"320.00","Particular","Dentística"
"Rest. RC Classe III G3","Rest. RC Classe III G3",,"280.00","Particular","Dentística"
"Coroa Provisória com Pino","Coroa Provisória com Pino","85400076","400.00","Particular","Prótese"
"Rest. RC Classe III G2","Rest. RC Classe III G2",,"250.00","Particular","Dentística"
"Coroa Provisória sem Pino","Coroa Provisória sem Pino","85400084","380.00","Particular","Prótese"
"Rest. RC Classe III G1","Rest. RC Classe III G1",,"210.00","Particular","Dentística"
"Recimentação de prótese fixa","Recimentação de prótese fixa",,"210.00","Particular","Prótese"
"Rest. RC Classe II G4","Rest. RC Classe II G4",,"300.00","Particular","Dentística"
"Rest. RC Classe II G2","Rest. RC Classe II G2",,"240.00","Particular","Dentística"
"Enxerto de Tecido Conjuntivo","Enxerto de Tecido Conjuntivo",,"1800.00","Particular","Implantodontia"
"Rest. RC Classe II G1","Rest. RC Classe II G1",,"210.00","Particular","Dentística"
"Rest. RC Classe I  G4","Rest. RC Classe I  G4",,"250.00","Particular","Dentística"
"Rest. RC Classe I  G3","Rest. RC Classe I  G3",,"220.00","Particular","Dentística"
"Rest. RC Classe I  G2","Rest. RC Classe I  G2",,"200.00","Particular","Dentística"
"Ellansé - 1ml - bioestimulador de colágeno/preenchedor","Ellansé - 1ml - bioestimulador de colágeno/preenchedor",,"1500.00","Particular","Harmonização facial"
"Rest. RC Classe I  G1","Rest. RC Classe I  G1",,"190.00","Particular","Dentística"
"Toxina Botulínica Protocolo Platisma + Contorno","Toxina Botulínica Protocolo Platisma + Contorno",,"1350.00","Particular","Harmonização facial"
"Alinhamento dentes inferiores","Alinhamento dentes inferiores",,"97.00","Particular","Dentística"
"Rest. Ponta de Cúspide","Rest. Ponta de Cúspide",,"190.00","Particular","Dentística"
"Toxina Botulínica Protocolo Apertamento/Bruxismo","Toxina Botulínica Protocolo Apertamento/Bruxismo",,"1350.00","Particular","Harmonização facial"
"Rest. RC Classe IV G3","Rest. RC Classe IV G3",,"420.00","Particular","Dentística"
"Sculptra - 1 frasco - Bioestimulador de colágeno","Sculptra - 1 frasco - Bioestimulador de colágeno",,"2200.00","Particular","Harmonização facial"
